漢字,異体字
爾,尔
馳,驰
宍,肉
悉,怸
姐,媎
柘,䂞
雀,䲵
諏,诹
趨,趋
濡,渪
綬,绶
鷲,鹫
輯,辑
鍬,鍫
鍬,锹
鰍,鳅
廿,卄
紐,纽
醇,醕
醇,䣩
醇,䣨
駿,骏
惇,㥫
淳,湻
閏,閠
閏,䦞
閏,闰
疏,䟽
鋤,锄
鼠,鼡
鼠,䑕
嘗,甞
嘗,尝
捷,㨗
捷,掶
樵,藮
鉦,钲
鍾,钟
鍾,锺
鎗,鏿
粟,䅇
榛,樼
榛,㰉
疹,𤺋
矧,矤
訊,訙
訊,䛜
訊,讯
賑,赈
儘,侭
塵,尘
稔,䄒
蘇,蘓
蘇,苏
雛,鶵
雛,雏
錘,锤
錐,锥
棲,捿
貰,贳
碩,硕
栴,㮵
釧,钏
銑,铣
閃,闪
楚,椘
楚,䠂
叢,樷
叢,藂
叢,丛
槍,枪
湊,凑
綜,综
葱,蔥
葱,䓗
蒼,苍
蚤,𧈡
蚤,䖣
蚤,䗢
柁,舵
柁,䑨
舵,柁
舵,䑨
詫,诧
苔,菭
鐸,鈬
鐸,铎
坦,憻
湛,㴴
耽,躭
筑,𥬑
丑,丒
紬,䌷
紬,䌧
苧,苎
寵,宠
暢,畅
肇,肈
脹,胀
蔦,茑
諜,谍
釘,钉
銚,铫
砧,碪
剃,鬀
綴,缀
蹄,蹏
鵜,鹈
鼎,鼑
鼎,㫀
荻,蔐
荻,藡
鏑,镝
姪,㜼
轍,辙
甜,甛
甜,䑚
鮎,鲇
兜,兠
兜,㿡
鍍,镀
套,㚐
嶋,島
嶋,嶌
嶋,嶹
嶋,㠀
嶋,岛
蕩,蘯
蕩,盪
蕩,荡
鐙,镫
膿,脓
禿,秃
敦,㪟
頗,颇
盃,杯
盃,桮
盃,㮎
楳,梅
楳,梅
楳,槑
狽,狈
柏,栢
駁,驳
筏,栰
鰻,鳗
緋,绯
誹,诽
轡,辔
弼,弻
弼,㢶
畢,毕
錨,锚
撫,抚
輔,辅
鮒,鲋
蕪,芜
鵡,鹉
楓,枫
鳳,凤
鳳,鳯
鳳,鴌
焚,燓
焚,㷊
糞,粪
緬,缅
鋪,舗
鋪,铺
鋪,舖
峯,峰
鋒,鏠
鋒,锋
鋒,鎽
鴇,鸨
鵬,鹏
卯,夘
卯,戼
悶,㥃
悶,闷
爺,爷
尤,怣
酉,丣
輿,轝
輿,舆
楊,杨
耀,㿢
洛,洜
栗,㮚
栗,𣡼
狸,貍
裡,裏
鯉,鲤
劉,刘
溜,澑
梁,鿄
梁,樑
綾,绫
菱,蔆
菱,䔖
諒,谅
婁,娄
櫓,樐
櫓,㯭
櫓,橹
魯,鲁
鷺,鹭
鷺,鴼
聾,聋
聾,䏊
或,㦯
咒,呪
埜,野
埜,壄
埜,㙒
埜,𡌛
崕,崖
溯,遡
篭,籠
篭,笼
葢,蓋
葢,盖
麪,麺
麪,麵
麪,麫
卻,却
卻,㕁
圀,國
圀,国
圀,囶
圀,囻
圀,囯
圀,䆐
棊,棋
棊,檱
棊,㯦
棊,櫀
澂,澄
澂,瀓
烟,煙
烟,𤇆
烟,㷑
璢,瑠
筍,笋
笋,筍
聟,婿
聟,壻
聟,聓
謌,歌
鑒,鑑
鑒,鍳
鑒,鑬
鑒,鉴
襍,雑
襍,雜
襍,杂
霸,覇
韵,韻
飜,翻
黏,粘
丕,㔻
于,亏
于,亐
亟,䓧
亟,焏
价,㑘
佇,伫
佞,侫
侖,仑
俔,悓
俔,伣
俎,爼
俥,伡
們,们
倆,𠈓
倆,俩
偬,倊
偬,傯
傚,俲
傴,伛
僉,佥
僂,偻
僥,侥
僥,徺
儁,㒞
儁,㑺
儂,侬
儕,㑪
儕,侪
儔,俦
儚,顭
儺,傩
儷,㒧
儷,俪
儼,𠑊
儼,俨
儻,傥
兌,兑
兌,兊
冀,兾
冏,囧
冪,羃
剄,刭
剋,尅
剴,剀
勁,劲
勠,勎
匆,匇
匯,滙
匯,汇
匱,匮
匳,奩
匳,籢
匳,匲
匳,奁
卍,卐
厖,庬
燮,爕
燮,㸉
燮,夑
吶,呐
吶,㕯
吝,㖁
咄,嚉
咢,㖾
咤,吒
咤,咜
哮,㫴
啀,嘊
啣,銜
啣,㘅
啣,衘
啣,衔
嗚,呜
嗇,啬
嗜,呩
嗤,㰞
嗤,𣣷
嘔,呕
嗷,嗸
嘖,啧
嘸,呒
嘯,嘨
嘯,歗
嘯,啸
嚀,咛
嚶,嘤
囂,嚻
囂,嚣
囁,嗫
囈,呓
垓,畡
垠,垦
埒,埓
堝,埚
堡,堢
塋,茔
塒,埘
塹,壍
塹,㟻
塹,堑
壅,㙲
壙,圹
壜,罎
壜,墰
壜,墵
壜,坛
壟,垄
壟,壠
壟,垅
夥,㚌
夬,叏
夾,夹
奐,奂
妝,妆
妝,娤
妝,䊋
妝,𡝂
姙,妊
娟,姢
婀,妸
婀,娿
媼,媪
嫋,嬝
媽,妈
嫗,妪
嫩,嫰
嫺,嫻
嫺,娴
嫺,㛠
嫻,娴
嫻,嫺
嫻,㛠
嬌,娇
嬋,婵
嬪,娦
嬪,嫔
嬾,孏
嬾,孄
嬾,㦨
孀,㜀
孕,㞌
孕,㚺
孩,㜾
宦,䆠
尠,尟
屁,𥧔
崟,崯
崟,㖗
崑,崐
崢,峥
嵌,篏
嵒,嵓
嵬,㠕
嶇,岴
嶇,岖
嶄,嶃
嶄,崭
嶢,嶤
嶢,𡸳
嶢,峣
嶬,㠖
嶮,𡸴
嶮,崄
嶷,㠜
嶼,㠘
嶼,屿
巓,嵮
巓,巔
巓,巅
巒,峦
帚,菷
帑,伖
幀,帧
幀,㡠
幗,帼
幔,㡢
幟,旘
幟,帜
麼,麽
麼,嚒
麼,庅
麼,尛
廂,厢
廡,庑
廩,廪
廩,㐭
廬,庐
廱,㢕
弑,弒
徂,䢐
徇,伨
徇,狥
徭,傜
忝,㤁
恚,㤬
恁,㤛
恪,愙
恪,㤩
恪,愘
恟,忷
悍,猂
悖,愂
悋,恡
悸,㑧
悽,恓
悵,怅
愕,㦍
愆,諐
惻,恻
慍,愠
愨,慤
愨,悫
愧,媿
愴,獊
愴,怆
慂,惥
慳,悭
慫,怂
慟,恸
慟,憅
憖,慭
憖,憗
憚,惮
憊,惫
憑,慿
憫,悯
憮,㒇
憮,怃
懌,𢗜
懌,怿
懊,㤇
懍,懔
懦,懧
懦,㐡
懣,𢡛
懣,㦖
懣,懑
懶,懒
懿,㦤
