漢字,辞典,検字番号
形,大漢和辞典,9982
形,日本語漢字辞典,3314
形,新大字典,4617
形,大字源,2651
形,大字源,2655
形,大漢語林,3201
京,大漢和辞典,299
京,日本語漢字辞典,175
京,新大字典,256
京,大字源,109
京,大漢語林,144
計,大漢和辞典,35220
計,日本語漢字辞典,11835
計,新大字典,15611
計,大字源,9245
計,大漢語林,10588
原,大漢和辞典,2973
原,日本語漢字辞典,1190
原,新大字典,1604
原,大字源,983
原,大漢語林,1171
言,大漢和辞典,35205
言,日本語漢字辞典,11832
言,新大字典,15604
言,大字源,9243
言,大漢語林,10583
元,大漢和辞典,1340
元,日本語漢字辞典,646
元,新大字典,840
元,大字源,510
元,大漢語林,660
古,大漢和辞典,3233
古,日本語漢字辞典,1269
古,新大字典,1723
古,大字源,1048
古,大漢語林,1238
戸,大漢和辞典,-
戸,日本語漢字辞典,3871
戸,新大字典,5345
戸,大字源,3194
戸,大漢語林,3765
語,大漢和辞典,35533
語,日本語漢字辞典,11952
語,新大字典,15777
語,大字源,9347
語,大漢語林,10710
午,大漢和辞典,2703
午,日本語漢字辞典,1111
午,新大字典,1480
午,大字源,905
午,大漢語林,1101
後,大漢和辞典,10098
後,日本語漢字辞典,3352
後,新大字典,4662
後,大字源,2690
後,大字源,2691
後,大漢語林,3240
広,大漢和辞典,9224
広,日本語漢字辞典,3105
広,新大字典,4331
広,大字源,2492
広,大漢語林,3020
交,大漢和辞典,291
交,日本語漢字辞典,167
交,日本語漢字辞典,168
交,新大字典,246
交,新大字典,247
交,大字源,105
交,大字源,106
交,大漢語林,141
工,大漢和辞典,8714
工,日本語漢字辞典,2960
工,新大字典,4116
工,大字源,2377
工,大漢語林,2896
光,大漢和辞典,1350
光,日本語漢字辞典,649
光,新大字典,853
光,大字源,514
光,大漢語林,665
公,大漢和辞典,1452
公,日本語漢字辞典,695
公,日本語漢字辞典,696
公,新大字典,900
公,大字源,550
公,大字源,551
公,大漢語林,700
考,大漢和辞典,28843
考,日本語漢字辞典,9392
考,日本語漢字辞典,9393
考,新大字典,12855
考,大字源,7744
考,大漢語林,9060
黄,大漢和辞典,47926
黄,日本語漢字辞典,15215
黄,新大字典,20774
黄,新大字典,20776
黄,大字源,12138
黄,大漢語林,13780
行,大漢和辞典,34029
行,日本語漢字辞典,11508
行,新大字典,15106
行,大字源,8979
行,大漢語林,10292
高,大漢和辞典,45313
高,日本語漢字辞典,14568
高,新大字典,19733
高,大字源,11625
高,大漢語林,13207
合,大漢和辞典,3287
合,日本語漢字辞典,1310
合,新大字典,1765
合,大字源,1072
合,大漢語林,1269
国,大漢和辞典,4752
国,日本語漢字辞典,1808
国,新大字典,2475
国,大字源,1463
国,大漢語林,1747
谷,大漢和辞典,36182
谷,日本語漢字辞典,12152
谷,新大字典,16089
谷,大字源,9542
谷,大漢語林,10908
黒,大漢和辞典,48040
黒,日本語漢字辞典,15223
黒,新大字典,20801
黒,大字源,12150
黒,大漢語林,13792
細,大漢和辞典,27344
細,日本語漢字辞典,8899
細,新大字典,12151
細,大字源,7314
細,大漢語林,8606
才,大漢和辞典,11769
才,日本語漢字辞典,3900
才,新大字典,5378
才,大字源,3214
才,大漢語林,3817
作,大漢和辞典,518
作,日本語漢字辞典,268
作,新大字典,412
作,大字源,190
作,大漢語林,243
算,大漢和辞典,26146
算,日本語漢字辞典,8552
算,新大字典,11709
算,大字源,7058
算,大漢語林,8293
紙,大漢和辞典,27293
紙,日本語漢字辞典,8870
紙,新大字典,12122
紙,大字源,7291
紙,大漢語林,8580
矢,大漢和辞典,23929
矢,日本語漢字辞典,7876
矢,新大字典,10889
矢,大字源,6531
矢,大漢語林,7657
姉,大漢和辞典,6165
姉,日本語漢字辞典,2279
姉,新大字典,3117
姉,大字源,1830
姉,大漢語林,2226
市,大漢和辞典,8775
市,日本語漢字辞典,2988
市,新大字典,4155
市,大字源,2398
市,大漢語林,2920
止,大漢和辞典,16253
止,日本語漢字辞典,5675
止,新大字典,7822
止,新大字典,7823
止,大字源,4656
止,大漢語林,5628
時,大漢和辞典,13890
時,日本語漢字辞典,4602
時,新大字典,6455
時,大字源,3861
時,大漢語林,4502
寺,大漢和辞典,7414
寺,日本語漢字辞典,2635
寺,新大字典,3587
寺,大字源,2126
寺,大漢語林,2589
自,大漢和辞典,30095
自,日本語漢字辞典,9753
自,新大字典,13381
自,大字源,8037
自,大漢語林,9159
色,大漢和辞典,30602
色,日本語漢字辞典,9884
色,新大字典,13577
色,大字源,8135
色,大漢語林,9261
室,大漢和辞典,7136
室,日本語漢字辞典,2561
室,新大字典,3479
室,大字源,2066
室,大漢語林,2512
社,大漢和辞典,24631
社,大漢和辞典,24631
社,日本語漢字辞典,8084
社,日本語漢字辞典,8085
社,新大字典,11163
社,新大字典,11164
社,新大字典,11183
社,大字源,6690
社,大字源,6691
社,大漢語林,7860
社,大漢語林,7861
弱,大漢和辞典,9791
弱,大漢和辞典,9791
弱,日本語漢字辞典,3266
弱,日本語漢字辞典,3267
弱,新大字典,4555
弱,新大字典,4556
弱,大字源,2614
弱,大字源,2615
弱,大漢語林,3161
弱,大漢語林,3162
首,大漢和辞典,44489
首,日本語漢字辞典,14378
首,新大字典,19383
首,大字源,11459
首,大漢語林,13039
週,大漢和辞典,38937
週,大漢和辞典,38937
週,日本語漢字辞典,12826
週,日本語漢字辞典,12827
週,新大字典,17181
週,新大字典,17182
週,大字源,10189
週,大字源,10190
週,大漢語林,11573
週,大漢語林,11574
秋,大漢和辞典,24940
秋,日本語漢字辞典,8191
秋,新大字典,11311
秋,大字源,6795
秋,大漢語林,7966
春,大漢和辞典,13844
春,日本語漢字辞典,4570
春,新大字典,6428
春,大字源,3842
春,大漢語林,4470
書,大漢和辞典,13928
書,大漢和辞典,14294
書,日本語漢字辞典,4737
書,新大字典,6635
書,大字源,7816
書,大漢語林,4504
少,大漢和辞典,7475
少,日本語漢字辞典,2661
少,新大字典,3637
少,大字源,2149
少,大漢語林,2612
場,大漢和辞典,5278
場,日本語漢字辞典,1986
場,新大字典,2720
場,大字源,1597
場,大字源,1598
場,大漢語林,1946
食,大漢和辞典,44014
食,日本語漢字辞典,14253
食,日本語漢字辞典,14254
食,新大字典,19175
食,新大字典,19176
食,大字源,11343
食,大字源,11344
食,大漢語林,12928
食,大漢語林,12929
新,大漢和辞典,13572
新,日本語漢字辞典,4474
新,新大字典,6281
新,大字源,3755
新,大漢語林,4366
親,大漢和辞典,34918
親,日本語漢字辞典,11779
親,新大字典,15517
親,大字源,9195
親,大漢語林,10539
心,大漢和辞典,10295
心,日本語漢字辞典,3399
心,新大字典,4721
心,大字源,2731
心,大漢語林,3283
