漢字,分類
昊,左右対称
杳,左右対称
旻,左右対称
暈,左右対称
雹,天気・気象
霆,天気・気象
霎,天気・気象
霙,天気・気象
霖,天気・気象
霰,天気・気象
靄,天気・気象
栞,左右対称
蚌,動物
蛟,想像上の動物
蜆,動物
蜃,想像上の動物
蜩,動物
蝮,動物
梟,鳥の名前（漢字一文字）
棘,同じ漢字二つで構成
棗,同じ漢字二つで構成
脛,身体（体の部位）
腓,身体（体の部位）
曾,旧字体・新字体
跟,身体（体の部位）
踝,身体（体の部位）
踵,身体（体の部位）
臍,身体（体の部位）
韜,防具
颪,天気・気象
颱,天気・気象
渺,数の単位
駮,想像上の動物
癸,干支（十二支・十干）
肆,大字
雉,鳥の名前（漢字一文字）
瑶,かわいい（名付け）
髯,身体（体の部位）
磊,同じ漢字三つで構成
錏,防具
錣,防具
鐚,防具
絆,歴代の今年の漢字
犇,同じ漢字三つで構成
聶,同じ漢字三つで構成
炙,火・炎
煌,華やか
詈,左右対称
瓣,旧字体・新字体
獏,動物
睫,身体（体の部位）
瞼,身体（体の部位）
阡,大字
陌,大字
艸,同じ漢字二つで構成
芬,国名（略称）
茉,左右対称
苺,かわいい（名付け）
莉,かわいい（名付け）
菫,左右対称
蕈,左右対称
蕾,左右対称
蕾,かわいい（名付け）
貘,動物
賽,左右対称
贔,同じ漢字三つで構成
贔,左右対称
豈,左右対称
个,左右対称
來,旧字体・新字体
假,旧字体・新字体
竸,同じ漢字二つで構成
勞,旧字体・新字体
區,旧字体・新字体
龜,旧字体・新字体
齒,旧字体・新字体
鷄,旧字体・新字体
鷄,鳥の名前（漢字一文字）
燈,旧字体・新字体
冨,左右対称
龍,旧字体・新字体
龍,想像上の動物
驫,同じ漢字三つで構成
鐵,旧字体・新字体
螢,旧字体・新字体
曉,旧字体・新字体
櫻,旧字体・新字体
氣,旧字体・新字体
證,旧字体・新字体
譯,旧字体・新字体
蟲,旧字体・新字体
蟲,同じ漢字三つで構成
蠻,旧字体・新字体
乘,旧字体・新字体
亞,旧字体・新字体
亞,左右対称
學,旧字体・新字体
嶽,旧字体・新字体
巖,旧字体・新字体
矗,同じ漢字三つで構成
碎,旧字体・新字体
槇,旧字体・新字体
瑤,旧字体・新字体
鑄,旧字体・新字体
鑛,旧字体・新字体
釀,旧字体・新字体
醫,旧字体・新字体
榮,旧字体・新字体
樂,旧字体・新字体
實,旧字体・新字体
从,同じ漢字二つで構成
佛,旧字体・新字体
佛,国名（略称）
發,旧字体・新字体
灣,旧字体・新字体
濱,旧字体・新字体
亂,旧字体・新字体
豫,旧字体・新字体
會,旧字体・新字体
會,左右対称
册,旧字体・新字体
單,旧字体・新字体
囑,旧字体・新字体
髓,旧字体・新字体
堯,旧字体・新字体
壤,旧字体・新字体
墮,旧字体・新字体
圓,旧字体・新字体
圓,左右対称
奧,旧字体・新字体
奬,旧字体・新字体
遙,旧字体・新字体
邊,旧字体・新字体
齡,旧字体・新字体
顯,旧字体・新字体
顏,旧字体・新字体
藝,旧字体・新字体
藥,旧字体・新字体
惠,旧字体・新字体
應,旧字体・新字体
澤,旧字体・新字体
圈,旧字体・新字体
國,旧字体・新字体
圍,旧字体・新字体
壯,旧字体・新字体
壹,大字
壹,旧字体・新字体
傳,旧字体・新字体
僞,旧字体・新字体
兒,旧字体・新字体
劍,旧字体・新字体
餘,旧字体・新字体
餠,旧字体・新字体
徑,旧字体・新字体
戀,旧字体・新字体
繼,旧字体・新字体
齊,旧字体・新字体
點,旧字体・新字体
黨,旧字体・新字体
濕,旧字体・新字体
澁,旧字体・新字体
價,旧字体・新字体
儉,旧字体・新字体
兩,旧字体・新字体
勸,旧字体・新字体
勳,旧字体・新字体
勵,旧字体・新字体
缺,旧字体・新字体
罐,旧字体・新字体
粹,旧字体・新字体
聽,旧字体・新字体
獻,旧字体・新字体
獵,旧字体・新字体
獸,旧字体・新字体
疊,旧字体・新字体
當,旧字体・新字体
據,旧字体・新字体
擇,旧字体・新字体
慘,旧字体・新字体
拜,旧字体・新字体
圖,旧字体・新字体
圖,左右対称
關,旧字体・新字体
萬,大字
萬,旧字体・新字体
貳,大字
貳,旧字体・新字体
參,大字
參,旧字体・新字体
殘,旧字体・新字体
絲,旧字体・新字体
絲,同じ漢字二つで構成
經,旧字体・新字体
總,旧字体・新字体
縣,旧字体・新字体
縱,旧字体・新字体
彈,旧字体・新字体
彌,旧字体・新字体
拔,旧字体・新字体
擔,旧字体・新字体
擴,旧字体・新字体
沒,旧字体・新字体
莖,旧字体・新字体
莊,旧字体・新字体
錢,旧字体・新字体
恆,旧字体・新字体
惡,旧字体・新字体
濟,旧字体・新字体
淨,旧字体・新字体
淺,旧字体・新字体
藏,旧字体・新字体
鎭,旧字体・新字体
權,旧字体・新字体
樞,旧字体・新字体
樣,旧字体・新字体
樓,旧字体・新字体
祕,旧字体・新字体
祿,旧字体・新字体
齋,旧字体・新字体
禪,旧字体・新字体
禮,旧字体・新字体
竝,旧字体・新字体
竝,同じ漢字二つで構成
爻,同じ漢字二つで構成
盡,旧字体・新字体
舍,旧字体・新字体
舖,旧字体・新字体
麥,旧字体・新字体
竊,旧字体・新字体
飮,旧字体・新字体
盜,旧字体・新字体
覺,旧字体・新字体
輕,旧字体・新字体
轉,旧字体・新字体
遞,旧字体・新字体
遲,旧字体・新字体
噐,左右対称
營,旧字体・新字体
處,旧字体・新字体
剩,旧字体・新字体
劑,旧字体・新字体
辨,旧字体・新字体
辨,同じ漢字二つで構成
瀧,旧字体・新字体
峽,旧字体・新字体
惱,旧字体・新字体
愼,旧字体・新字体
懷,旧字体・新字体
眞,旧字体・新字体
繪,旧字体・新字体
繩,旧字体・新字体
續,旧字体・新字体
纖,旧字体・新字体
鹽,旧字体・新字体
踐,旧字体・新字体
條,旧字体・新字体
寢,旧字体・新字体
寫,旧字体・新字体
寶,旧字体・新字体
棧,旧字体・新字体
稱,旧字体・新字体
稻,旧字体・新字体
穗,旧字体・新字体
壻,旧字体・新字体
鬪,旧字体・新字体
卷,旧字体・新字体
