漢字,名乗り訓
武,たつ
武,ふか
編,あみ
編,よし
保,お
保,たもつ
保,まもる
保,もち
保,もり
保,やすし
保,より
豊,あつ
豊,て
豊,と
豊,のぼる
豊,ひろ
豊,ひろし
豊,ぶん
豊,ほ
豊,みのる
豊,もり
豊,よし
夢,ゆ
務,かね
務,ちか
務,つとむ
務,つよ
務,なか
務,みち
容,かた
容,ひろ
容,まさ
容,もり
容,やす
容,よ
率,のり
率,より
留,たね
留,と
留,とめ
留,ひさ
領,おさ
領,さとる
領,むね
宇,うま
宇,そら
宇,たか
宇,ね
映,あき
映,あきら
映,え
映,てる
映,みつ
延,すすむ
延,なが
延,のぶ
延,のぶる
閣,はる
拡,ひろし
拡,ひろむ
貴,あつ
貴,たか
貴,たかし
貴,たけ
貴,むち
貴,もとむ
貴,よし
郷,あき
郷,あきら
郷,のり
郷,むら
勤,いそ
勤,いそし
勤,すすむ
勤,つとむ
勤,とし
勤,のり
勤,ゆき
敬,あき
敬,たか
敬,たかし
敬,とし
敬,のり
敬,ひろ
敬,よし
警,さとし
警,ただし
絹,まさ
憲,あき
憲,あきら
憲,かず
憲,さだ
憲,ただし
憲,とし
厳,いず
厳,いつ
厳,いつき
厳,たか
厳,つよ
源,はじめ
源,もと
源,よし
己,お
己,な
己,み
孝,あつ
孝,たか
孝,たかし
孝,なり
孝,のり
孝,みち
孝,ゆき
孝,よし
皇,すべ
皇,すめら
紅,あか
紅,いろ
紅,くれ
鋼,かた
鋼,たけ
鋼,たけし
策,かず
策,つか
策,はかる
策,もり
誌,ふみ
視,のり
視,み
視,みる
視,よし
詞,こと
詞,つぐ
詞,なり
詞,のり
詞,ふみ
至,ちか
至,のり
至,みち
至,むね
至,ゆき
至,よし
若,なお
若,まさ
若,よし
若,より
樹,いつき
樹,しげ
樹,たつ
樹,たつき
樹,な
樹,みき
樹,むら
宗,かず
宗,たかし
宗,とき
宗,とし
宗,のり
宗,ひろ
宗,もと
収,おさむ
収,かず
収,さね
収,すすむ
収,なお
収,なか
収,のぶ
収,もと
収,もり
収,もろ
衆,あつむ
衆,とも
衆,ひろ
衆,もり
衆,もろ
純,あつ
純,あつし
純,あや
純,いと
純,きよし
純,すなお
純,すみ
純,まこと
純,よし
諸,つら
諸,もり
除,きよ
除,さる
除,のき
将,すけ
将,すすむ
将,ただし
将,もち
将,ゆき
城,くに
城,なり
城,むら
蒸,すすむ
蒸,つぐ
蒸,つまき
仁,きみ
仁,さと
仁,と
仁,のぶ
仁,ひさし
仁,ひと
仁,ひとし
仁,ひろし
仁,まさ
仁,み
仁,めぐみ
仁,やすし
仁,よし
誠,あき
誠,あきら
誠,さと
誠,さとし
誠,さね
誠,しげ
誠,すみ
誠,たか
誠,たかし
誠,ただし
誠,とも
誠,なり
誠,なる
誠,のぶ
誠,のり
誠,まさ
誠,み
誠,もと
誠,よし
聖,あき
聖,あきら
聖,きよ
聖,きよし
聖,さと
聖,さとし
聖,さとる
聖,しょう
聖,せ
聖,たかし
聖,たから
聖,とし
聖,まさ
盛,さかり
盛,しげ
盛,しげる
盛,たけ
盛,もり
宣,のぶ
宣,のり
宣,ひさ
宣,ふさ
宣,むら
宣,よし
宣,より
泉,い
泉,きよし
泉,ずみ
泉,み
泉,みず
泉,もと
善,さ
善,ただし
善,たる
善,まさ
善,まさる
善,よし
奏,かなで
操,あや
操,さお
操,みさ
操,もち
創,そ
創,はじむ
創,はじめ
蔵,おさむ
蔵,ただ
蔵,とし
蔵,まさ
蔵,よし
尊,そ
尊,たか
尊,たかし
尊,たけ
尊,たける
誕,のぶ
誕,ひろ
誕,ひろし
暖,あつ
暖,はる
暖,やす
値,あき
値,あきら
宙,おき
宙,ひろ
宙,ひろし
宙,みち
忠,あつ
忠,あつし
忠,きよし
忠,すなお
忠,ただ
忠,ただし
忠,なり
忠,のり
著,あき
著,あきら
著,つぎ
著,つぐ
頂,かみ
展,のぶ
背,しろ
背,のり
班,つら
班,なか
班,ひとし
並,み
並,みつ
補,さだ
補,すけ
補,たすく
宝,かね
宝,たか
宝,たけ
宝,とみ
宝,とも
宝,ほ
宝,みち
宝,よし
優,かつ
優,すぐる
優,ひろ
優,まさる
優,ゆ
優,ゆたか
翌,あきら
律,おと
律,ただし
律,ただす
律,たて
論,さだむ
論,さとし
論,さとる
論,とき
論,のり
論,ゆう
依,より
威,あきら
威,たか
威,たけ
威,たけし
威,たける
威,つよし
威,なり
偉,いさむ
偉,えら
偉,おおい
偉,たけ
偉,より
為,なり
為,なる
緯,つかね
維,すみ
維,ただ
維,たもつ
壱,かず
壱,さね
壱,もろ
鋭,さとき
鋭,さとし
鋭,すすむ
鋭,とき
鋭,とし
鋭,はや
鋭,はやし
越,お
越,こえ
越,こゆる
越,わたる
憶,しめ
憶,ぞう
箇,かず
箇,とも
雅,ただ
雅,のり
雅,まさ
雅,まさし
雅,まさる
雅,もと
介,あき
介,かたし
介,たすく
介,ゆき
介,よし
皆,とも
皆,み
皆,みち
甘,あま
甘,かい
甘,よし
歓,か
歓,む
歓,よし
勧,すすむ
勧,ゆき
乾,きみ
乾,すすむ
鑑,あき
鑑,あきら
鑑,かね
鑑,のり
鑑,み
環,たま
環,めぐる
祈,いのり
輝,あきら
輝,てる
輝,ひかり
輝,ひかる
輝,みつ
輝,みつる
幾,おき
幾,ちか
幾,ちかし
幾,のり
幾,ふさ
儀,きたる
儀,ただし
丘,お
丘,たか
丘,たかし
巨,お
巨,おお
巨,なお
巨,まさ
巨,み
響,おと
響,なり
響,ひびき
駆,かけ
駆,かける
恵,あや
恵,さと
恵,さとし
恵,めぐみ
恵,めぐむ
恵,やす
恵,よし
堅,かたし
堅,たか
堅,つよし
堅,み
堅,よし
兼,かず
兼,かた
兼,かね
兼,とも
剣,あきら
剣,つとむ
剣,はや
玄,しず
玄,しずか
玄,つね
玄,とお
玄,のり
玄,はじめ
玄,はる
玄,はるか
玄,ひかる
玄,ひろ
玄,ふか
玄,ふかし
継,つぎ
継,つぐ
継,つね
継,ひで
更,つぐ
更,とお
更,とく
更,のぶ
攻,おさむ
香,かおり
香,かおる
香,かが
香,たか
香,よし
恒,ちか
恒,のぶ
恒,ひさ
恒,ひさし
恒,ひとし
恒,わたる
豪,おさ
豪,かた
豪,かつ
豪,すぐる
豪,たか
豪,たかし
豪,たけ
豪,たけき
豪,たけし
豪,たける
豪,つよ
豪,つよし
豪,とし
豪,ひで
彩,あ
彩,いろ
彩,さ
彩,たみ
載,こと
載,のり
載,はじめ
咲,えみ
咲,さ
咲,さき
紫,むら
朱,あや
朱,じゅ
趣,とし
需,まち
需,みつ
需,もと
需,もとむ
需,もとめ
秀,さかえ
秀,しげる
秀,すえ
秀,ひいず
秀,ひで
秀,ひでし
秀,ほ
秀,ほず
秀,ほら
秀,みつ
秀,みのる
秀,よし
舟,のり
柔,じゅ
柔,やわら
柔,よし
