虫,音,チュウ,NULL,１番,表内読み
虫,音,キ,NULL,２番,表内読み
虫,訓,むし,NULL,１番,表内読み
中,音,ジュウ,NULL,小学校で習う読み,表内読み
中,音,チュウ,NULL,小学校で習う読み,表内読み
中,訓,なか,NULL,小学校で習う読み,表内読み
中,訓,あ,たる,NULL,表外読み
中,訓,あ,てる,NULL,表外読み
中,訓,うち,NULL,NULL,表外読み
町,音,チョウ,NULL,小学校で習う読み,表内読み
町,音,テイ,NULL,NULL,表外読み
町,訓,まち,NULL,小学校で習う読み,表内読み
町,訓,あぜみち,NULL,NULL,表外読み
天,音,テン,NULL,小学校で習う読み,表内読み
天,訓,あま,NULL,小学校で習う読み,表内読み
天,訓,あめ,NULL,高校で習う読み,表内読み
天,訓,そら,NULL,NULL,表外読み
田,音,デン,NULL,小学校で習う読み,表内読み
田,訓,た,NULL,小学校で習う読み,表内読み
田,訓,か,り,NULL,表外読み
田,訓,か,る,NULL,表外読み
土,音,ト,NULL,小学校で習う読み,表内読み
土,音,ド,NULL,小学校で習う読み,表内読み
土,訓,つち,NULL,小学校で習う読み,表内読み
二,音,ニ,NULL,小学校で習う読み,表内読み
二,音,ジ,NULL,NULL,表外読み
二,訓,ふた,NULL,小学校で習う読み,表内読み
二,訓,ふた,つ,小学校で習う読み,表内読み
日,音,ジツ,NULL,小学校で習う読み,表内読み
日,音,ニチ,NULL,小学校で習う読み,表内読み
日,訓,か,NULL,小学校で習う読み,表内読み
日,訓,ひ,NULL,小学校で習う読み,表内読み
入,音,ニュウ,NULL,小学校で習う読み,表内読み
入,音,ジュ,NULL,NULL,表外読み
入,音,ジュウ,NULL,NULL,表外読み
入,訓,い,る,小学校で習う読み,表内読み
入,訓,い,れる,小学校で習う読み,表内読み
入,訓,はい,る,小学校で習う読み,表内読み
入,訓,しお,NULL,NULL,表外読み
年,音,ネン,NULL,小学校で習う読み,表内読み
年,音,デン,NULL,NULL,表外読み
年,訓,とし,NULL,小学校で習う読み,表内読み
年,訓,とせ,NULL,NULL,表外読み
年,訓,みのり,NULL,NULL,表外読み
年,訓,よわい,NULL,NULL,表外読み
白,音,ハク,NULL,小学校で習う読み,表内読み
白,音,ビャク,NULL,高校で習う読み,表内読み
白,訓,しら,NULL,小学校で習う読み,表内読み
白,訓,しろ,NULL,小学校で習う読み,表内読み
白,訓,しろ,い,小学校で習う読み,表内読み
白,訓,あき,らか,NULL,表外読み
白,訓,せりふ,NULL,NULL,表外読み
白,訓,もう,す,NULL,表外読み
八,音,ハチ,NULL,小学校で習う読み,表内読み
八,訓,や,NULL,小学校で習う読み,表内読み
八,訓,や,つ,小学校で習う読み,表内読み
八,訓,やっ,つ,小学校で習う読み,表内読み
八,訓,よう,NULL,小学校で習う読み,表内読み
百,音,ヒャク,NULL,小学校で習う読み,表内読み
百,音,ハク,NULL,NULL,表外読み
百,訓,もも,NULL,NULL,表外読み
本,音,ホン,NULL,小学校で習う読み,表内読み
本,訓,もと,NULL,小学校で習う読み,表内読み
名,音,ミョウ,NULL,小学校で習う読み,表内読み
名,音,メイ,NULL,小学校で習う読み,表内読み
名,訓,な,NULL,小学校で習う読み,表内読み
木,音,ボク,NULL,小学校で習う読み,表内読み
木,音,モク,NULL,小学校で習う読み,表内読み
木,訓,き,NULL,小学校で習う読み,表内読み
木,訓,こ,NULL,小学校で習う読み,表内読み
目,音,モク,NULL,小学校で習う読み,表内読み
目,音,ボク,NULL,中学校で習う読み,表内読み
目,訓,め,NULL,小学校で習う読み,表内読み
目,訓,ま,NULL,高校で習う読み,表内読み
目,訓,かなめ,NULL,NULL,表外読み
目,訓,まなこ,NULL,NULL,表外読み
文,音,ブン,NULL,小学校で習う読み,表内読み
文,音,モン,NULL,小学校で習う読み,表内読み
文,訓,ふみ,NULL,中学校で習う読み,表内読み
文,訓,あや,NULL,NULL,表外読み
文,訓,かざ,る,NULL,表外読み
右,音,ウ,NULL,小学校で習う読み,表内読み
右,音,ユウ,NULL,小学校で習う読み,表内読み
右,訓,みぎ,NULL,小学校で習う読み,表内読み
右,訓,たす,ける,NULL,表外読み
力,音,リキ,NULL,小学校で習う読み,表内読み
力,音,リョク,NULL,小学校で習う読み,表内読み
力,訓,ちから,NULL,小学校で習う読み,表内読み
力,訓,つと,める,NULL,表外読み
力,訓,りき,む,NULL,表外読み
立,音,リツ,NULL,小学校で習う読み,表内読み
立,音,リュウ,NULL,高校で習う読み,表内読み
立,訓,た,つ,小学校で習う読み,表内読み
立,訓,た,てる,小学校で習う読み,表内読み
立,訓,リットル,NULL,NULL,表外読み
林,音,リン,NULL,小学校で習う読み,表内読み
林,訓,はやし,NULL,小学校で習う読み,表内読み
林,訓,おお,い,NULL,表外読み
六,音,ロク,NULL,小学校で習う読み,表内読み
六,音,リク,NULL,NULL,表外読み
六,訓,む,NULL,小学校で習う読み,表内読み
六,訓,むい,NULL,小学校で習う読み,表内読み
六,訓,む,つ,小学校で習う読み,表内読み
六,訓,むっ,つ,小学校で習う読み,表内読み
引,音,イン,NULL,小学校で習う読み,表内読み
引,訓,ひ,く,小学校で習う読み,表内読み
引,訓,ひ,ける,小学校で習う読み,表内読み
羽,音,ウ,NULL,中学校で習う読み,表内読み
羽,訓,は,NULL,小学校で習う読み,表内読み
羽,訓,はね,NULL,小学校で習う読み,表内読み
雲,音,ウン,NULL,小学校で習う読み,表内読み
雲,訓,くも,NULL,小学校で習う読み,表内読み
雲,訓,そら,NULL,NULL,表外読み
遠,音,エン,NULL,小学校で習う読み,表内読み
